Itmcd,district,rate
B0-444,AMPARA DISTRICT,2438
B0-445,AMPARA DISTRICT,2438
B0-446,AMPARA DISTRICT,1219
B0-446A,AMPARA DISTRICT,2438
B0-447,AMPARA DISTRICT,1219
B0-447A,AMPARA DISTRICT,1219
B0-441B,AMPARA DISTRICT,153
B0-442B,AMPARA DISTRICT,1500
B0-443B,AMPARA DISTRICT,2000
B0-444B,AMPARA DISTRICT,2500
B0-445B,AMPARA DISTRICT,3000
B0-446B,AMPARA DISTRICT,4250
B0-447B,AMPARA DISTRICT,1219
B0-448,AMPARA DISTRICT,2275
B0-449,AMPARA DISTRICT,1150
B0-449A,AMPARA DISTRICT,637.5
B0-450,AMPARA DISTRICT,4675
B0-451,AMPARA DISTRICT,6125
B0-452,AMPARA DISTRICT,5900
B0-453,AMPARA DISTRICT,1025
B0-454,AMPARA DISTRICT,2250
B0-455,AMPARA DISTRICT,154
B0-456,AMPARA DISTRICT,3600
B0-457,AMPARA DISTRICT,8050
B0-458,AMPARA DISTRICT,12450
B0-459,AMPARA DISTRICT,5650
B0-460,AMPARA DISTRICT,68
B0-461,AMPARA DISTRICT,81
B0-501,AMPARA DISTRICT,2054.3
B0-502,AMPARA DISTRICT,830.9
B0-503,AMPARA DISTRICT,1087.75
B0-504,AMPARA DISTRICT,167.7
B0-505,AMPARA DISTRICT,77.2
B0-506,AMPARA DISTRICT,3722.9
B0-507,AMPARA DISTRICT,1161.8
B0-508,AMPARA DISTRICT,12
B0-531,AMPARA DISTRICT,173.68
B0-534,AMPARA DISTRICT,364.45
B0-537,AMPARA DISTRICT,28.95
B0-541,AMPARA DISTRICT,2602.45
B0-542,AMPARA DISTRICT,1753.45
B0-543,AMPARA DISTRICT,2394
B0-544,AMPARA DISTRICT,2394
B0-545,AMPARA DISTRICT,3532.99
B0-546,AMPARA DISTRICT,3057.29
B0-547,AMPARA DISTRICT,3454.86
B0-548,AMPARA DISTRICT,3005.21
B0-601,AMPARA DISTRICT,454
B0-602,AMPARA DISTRICT,163.33
B0-611,AMPARA DISTRICT,2388.94
B0-612,AMPARA DISTRICT,405
B0-613,AMPARA DISTRICT,400
B0-614,AMPARA DISTRICT,132
B0-615,AMPARA DISTRICT,392.6
B0-616,AMPARA DISTRICT,3441.76
B0-631,AMPARA DISTRICT,300
B0-632,AMPARA DISTRICT,55.1
B0-632A,AMPARA DISTRICT,71.8
B0-633,AMPARA DISTRICT,160.95
B0-634,AMPARA DISTRICT,75
B0-635,AMPARA DISTRICT,90.55
B0-636,AMPARA DISTRICT,250
B0-636B,AMPARA DISTRICT,400
B0-636C,AMPARA DISTRICT,4761.1
B0-636D,AMPARA DISTRICT,6851.95
B0-636E,AMPARA DISTRICT,7305
B0-637,AMPARA DISTRICT,400
B0-637A,AMPARA DISTRICT,480.7
B0-637B,AMPARA DISTRICT,400
B0-637C,AMPARA DISTRICT,600
B0-637D,AMPARA DISTRICT,250
B0-637E,AMPARA DISTRICT,400
B0-637F,AMPARA DISTRICT,600
B0-637G,AMPARA DISTRICT,1000
B0-638,AMPARA DISTRICT,2694.73
B0-639,AMPARA DISTRICT,922.5
B0-639A,AMPARA DISTRICT,922.5
B0-639B,AMPARA DISTRICT,922.5
B0-640,AMPARA DISTRICT,7096.55
B0-641,AMPARA DISTRICT,1581.7
B0-642,AMPARA DISTRICT,33894
B0-643,AMPARA DISTRICT,6906.95
B0-644,AMPARA DISTRICT,2560
B0-645,AMPARA DISTRICT,579.07
