Itmcd,district,rate
ST1-115,BADULLA DISTRICT,7859.3
ST1-116,BADULLA DISTRICT,8465.8
ST1-117,BADULLA DISTRICT,17325.9
"ST1-050, DEPENDING ON THE STRUCTURAL LOCATION.",BADULLA DISTRICT,1154.15
ST1-118,BADULLA DISTRICT,1154.15
ST1-119,BADULLA DISTRICT,364.7
ST1-120,BADULLA DISTRICT,1765.5
ST1-121,BADULLA DISTRICT,2407.15
ST1-122,BADULLA DISTRICT,2834.6
ST1-123,BADULLA DISTRICT,204.85
ST1-124,BADULLA DISTRICT,77.85
ST1-125,BADULLA DISTRICT,125.85
ST1-126,BADULLA DISTRICT,191.1
ST1-127,BADULLA DISTRICT,23563.25
ST1-128,BADULLA DISTRICT,17480.65
ST1-129,BADULLA DISTRICT,12538.15
ST1-130,BADULLA DISTRICT,9592.75
ST1-131,BADULLA DISTRICT,13514.8
ST1-132,BADULLA DISTRICT,143.5
ST1-133,BADULLA DISTRICT,7205.25
ST1-134,BADULLA DISTRICT,59.3
ST1-135,BADULLA DISTRICT,3458.6
ST1-136,BADULLA DISTRICT,10607.8
ST1-137,BADULLA DISTRICT,6806.15
ST1-138,BADULLA DISTRICT,14410.5
ST1-139,BADULLA DISTRICT,287
ST1-140,BADULLA DISTRICT,10375.75
ST1-141,BADULLA DISTRICT,191.35
ST1-142,BADULLA DISTRICT,7781.8
ST1-143,BADULLA DISTRICT,143.5
ST1-144,BADULLA DISTRICT,5187.9
ST1-145,BADULLA DISTRICT,95.65
ST1-146,BADULLA DISTRICT,5849.85
ST1-147,BADULLA DISTRICT,2796.15
ST1-148,BADULLA DISTRICT,1948.1
ST1-149,BADULLA DISTRICT,1105.25
ST1-150,BADULLA DISTRICT,769.15
ST1-151,BADULLA DISTRICT,6174.65
RF1-001,BADULLA DISTRICT,91.05
RF1-002,BADULLA DISTRICT,974.1
RF1-003,BADULLA DISTRICT,404.55
RF1-004,BADULLA DISTRICT,288.3
RF1-005,BADULLA DISTRICT,9061.7
RF1-006,BADULLA DISTRICT,5934.5
RF1-007,BADULLA DISTRICT,2126.7
RF1-008,BADULLA DISTRICT,1271.35
RF1-009,BADULLA DISTRICT,3190.75
RF1-009A,BADULLA DISTRICT,4667.65
RF1-010,BADULLA DISTRICT,838.4
RF1-011,BADULLA DISTRICT,3186.4
RS1-001,BADULLA DISTRICT,2278.8
RS1-002,BADULLA DISTRICT,505.05
RS1-003,BADULLA DISTRICT,3144.15
RS1-004,BADULLA DISTRICT,533.7
RS1-005,BADULLA DISTRICT,70.8
RS1-006,BADULLA DISTRICT,84.95
RS1-007,BADULLA DISTRICT,106.15
RS1-008,BADULLA DISTRICT,141.55
RS1-009,BADULLA DISTRICT,207.95
RS1-010,BADULLA DISTRICT,218.45
RS1-011,BADULLA DISTRICT,186.95
RS1-012,BADULLA DISTRICT,195.35
RS1-013,BADULLA DISTRICT,539.3
RS1-014,BADULLA DISTRICT,836.9
RS1-015,BADULLA DISTRICT,342.6
RS1-016,BADULLA DISTRICT,329.7
MS1-001,BADULLA DISTRICT,32330.1
MS1-002,BADULLA DISTRICT,443.8
MS1-003,BADULLA DISTRICT,516.05
MS1-004,BADULLA DISTRICT,396.75
MS1-005,BADULLA DISTRICT,3140.95
MS1-006,BADULLA DISTRICT,23629.6
MS1-007,BADULLA DISTRICT,1679.75
MS1-008,BADULLA DISTRICT,1737.2
MS1-009,BADULLA DISTRICT,75.9
MS1-010,BADULLA DISTRICT,2913.35
MS1-011,BADULLA DISTRICT,3023.7
MS1-012,BADULLA DISTRICT,2154.15
MS1-013,BADULLA DISTRICT,1518.1
MS1-014,BADULLA DISTRICT,1684.8
MS1-015,BADULLA DISTRICT,2527.5
MS1-016,BADULLA DISTRICT,2866.85
MS1-017,BADULLA DISTRICT,220.5
MS1-018,BADULLA DISTRICT,250.1
MS1-019,BADULLA DISTRICT,569.15
MS1-020,BADULLA DISTRICT,564.9
MS1-021,BADULLA DISTRICT,39.35
MS1-022,BADULLA DISTRICT,4.75
MS1-023,BADULLA DISTRICT,6.6
MS1-024,BADULLA DISTRICT,8.5
MS1-025,BADULLA DISTRICT,808.9
MS1-026,BADULLA DISTRICT,441.3
MS1-027,BADULLA DISTRICT,889.55
MS1-028,BADULLA DISTRICT,3440.5
MS1-029,BADULLA DISTRICT,1009
MS1-030,BADULLA DISTRICT,1441.4
MS1-031,BADULLA DISTRICT,345.75
MS1-032,BADULLA DISTRICT,1880.3
MS1-033,BADULLA DISTRICT,542.8
MS1-034,BADULLA DISTRICT,867.95
MS1-035,BADULLA DISTRICT,1275.4
MS1-036,BADULLA DISTRICT,1682.85
MS1-037,BADULLA DISTRICT,2090.35
MS1-038,BADULLA DISTRICT,5076.75
MS1-039,BADULLA DISTRICT,62.5
MS1-040,BADULLA DISTRICT,104.45
MS1-041,BADULLA DISTRICT,128.25
MS1-042,BADULLA DISTRICT,175.15
MS1-043,BADULLA DISTRICT,428.8
MS1-044,BADULLA DISTRICT,451.2
MS1-045,BADULLA DISTRICT,726.9
MS1-046,BADULLA DISTRICT,717.85
MS1-047,BADULLA DISTRICT,369.6
MS1-048,BADULLA DISTRICT,324.6
MS1-049,BADULLA DISTRICT,350.4
MS1-050,BADULLA DISTRICT,116.1
MS1-051,BADULLA DISTRICT,3515.05
MS1-052,BADULLA DISTRICT,3962.55
MS1-053,BADULLA DISTRICT,888.5
MS1-054,BADULLA DISTRICT,178.1
MS1-055,BADULLA DISTRICT,25.35
MS1-056,BADULLA DISTRICT,405
MS1-057,BADULLA DISTRICT,9085.85
MS1-058,BADULLA DISTRICT,8960
MS1-059,BADULLA DISTRICT,719.05
MS1-060,BADULLA DISTRICT,25466.45
MS1-061,BADULLA DISTRICT,622.45
MS1-062,BADULLA DISTRICT,6916.25
MS1-063,BADULLA DISTRICT,8420.2
MS1-064,BADULLA DISTRICT,10068.3
MS1-065,BADULLA DISTRICT,28922.45
MS1-066,BADULLA DISTRICT,1319.7
MS1-067,BADULLA DISTRICT,4574.05
MS1-068,BADULLA DISTRICT,6098.75
MS1-069,BADULLA DISTRICT,4833.45
MS1-070,BADULLA DISTRICT,7178.15
MS1-071,BADULLA DISTRICT,7.7
B0-001,BATTICALOA DISTRICT,3000
B0-002,BATTICALOA DISTRICT,2700
B0-003,BATTICALOA DISTRICT,2300
B0-004,BATTICALOA DISTRICT,2200
B0-101,BATTICALOA DISTRICT,100
B0-102,BATTICALOA DISTRICT,9409.73
B0-103,BATTICALOA DISTRICT,110
B0-104,BATTICALOA DISTRICT,4691.16
B0-105,BATTICALOA DISTRICT,17209.7
B0-106,BATTICALOA DISTRICT,2420.66
B0-107,BATTICALOA DISTRICT,4636.65
B0-108,BATTICALOA DISTRICT,4039.47
B0-109,BATTICALOA DISTRICT,9743.06
B0-110,BATTICALOA DISTRICT,39239.18
B0-111,BATTICALOA DISTRICT,21722.64
B0-112,BATTICALOA DISTRICT,7937.39
B0-113,BATTICALOA DISTRICT,32430.47
B0-114,BATTICALOA DISTRICT,49632.69
B0-115,BATTICALOA DISTRICT,37514.63
B0-116,BATTICALOA DISTRICT,39159.97
B0-116A,BATTICALOA DISTRICT,40370
B0-117,BATTICALOA DISTRICT,11507.41
B0-118,BATTICALOA DISTRICT,54.43
B0-118A,BATTICALOA DISTRICT,49.25
B0-119,BATTICALOA DISTRICT,55.63
B0-119A,BATTICALOA DISTRICT,55.96
B0-120,BATTICALOA DISTRICT,37.18
B0-120A,BATTICALOA DISTRICT,3.79
B0-120B,BATTICALOA DISTRICT,35.54
B0-121,BATTICALOA DISTRICT,49032.66
B0-121A,BATTICALOA DISTRICT,2908.02
B0-122,BATTICALOA DISTRICT,13318.68
B0-123,BATTICALOA DISTRICT,31657.17
B0-124,BATTICALOA DISTRICT,54550.93
B0-124A,BATTICALOA DISTRICT,44000.08
B0-125,BATTICALOA DISTRICT,137.11
B0-126,BATTICALOA DISTRICT,167.48
B0-127,BATTICALOA DISTRICT,198.34
B0-128,BATTICALOA DISTRICT,26315.21
B0-129,BATTICALOA DISTRICT,11994.63
B0-129A,BATTICALOA DISTRICT,11950.83
B0-130,BATTICALOA DISTRICT,240.84
B0-130A,BATTICALOA DISTRICT,82.05
B0-131,BATTICALOA DISTRICT,10823.72
B0-131A,BATTICALOA DISTRICT,10823.72
B0-131B,BATTICALOA DISTRICT,491.99
B0-132,BATTICALOA DISTRICT,2173.81
B0-133,BATTICALOA DISTRICT,2086.1
B0-133A,BATTICALOA DISTRICT,1128.79
B0-134,BATTICALOA DISTRICT,2788.62
B0-135,BATTICALOA DISTRICT,4127.71
B0-136,BATTICALOA DISTRICT,14165.02
B0-137,BATTICALOA DISTRICT,104.48
B0-138,BATTICALOA DISTRICT,1389.02
B0-139,BATTICALOA DISTRICT,1628.46
B0-140,BATTICALOA DISTRICT,2628.89
B0-141,BATTICALOA DISTRICT,6893.42
B0-142,BATTICALOA DISTRICT,21022.31
B0-143,BATTICALOA DISTRICT,2521.36
B0-144,BATTICALOA DISTRICT,12430.21
B0-145,BATTICALOA DISTRICT,19502.23
B0-146,BATTICALOA DISTRICT,12104.26
B0-146A,BATTICALOA DISTRICT,15930.35
B0-147,BATTICALOA DISTRICT,33724.61
B0-147A,BATTICALOA DISTRICT,19605.45
B0-148,BATTICALOA DISTRICT,266.81
B0-149,BATTICALOA DISTRICT,1918.3
B0-150,BATTICALOA DISTRICT,1918.3
B0-151,BATTICALOA DISTRICT,348.78
B0-151A,BATTICALOA DISTRICT,6945.41
B0-152,BATTICALOA DISTRICT,1918.3
B0-153,BATTICALOA DISTRICT,271.22
B0-154,BATTICALOA DISTRICT,8598.24
B0-155,BATTICALOA DISTRICT,12362.04
B0-156,BATTICALOA DISTRICT,7885.53
B0-157,BATTICALOA DISTRICT,679.05
B0-158,BATTICALOA DISTRICT,494.41
B0-159,BATTICALOA DISTRICT,6430.2
B0-160,BATTICALOA DISTRICT,3500
B0-161,BATTICALOA DISTRICT,7000
B0-162,BATTICALOA DISTRICT,3750
B0-201,BATTICALOA DISTRICT,2120.14
B0-202,BATTICALOA DISTRICT,1501.77
B0-301,BATTICALOA DISTRICT,3286.22
B0-302,BATTICALOA DISTRICT,3702.72
B0-303,BATTICALOA DISTRICT,3392.23
B0-304,BATTICALOA DISTRICT,3286.22
B0-305,BATTICALOA DISTRICT,3286.22
B0-308A,BATTICALOA DISTRICT,5053
B0-309,BATTICALOA DISTRICT,5053
B0-310,BATTICALOA DISTRICT,4911.66
B0-311,BATTICALOA DISTRICT,3780.92
B0-312,BATTICALOA DISTRICT,3392.23
B0-313,BATTICALOA DISTRICT,4522.97
B0-314,BATTICALOA DISTRICT,3706.51
B0-315,BATTICALOA DISTRICT,2657.47
B0-316,BATTICALOA DISTRICT,2657.47
B0-331,BATTICALOA DISTRICT,4211.6
B0-332,BATTICALOA DISTRICT,4211.6
B0-340,BATTICALOA DISTRICT,12915
B0-351,BATTICALOA DISTRICT,202.97
B0-351A,BATTICALOA DISTRICT,202.97
B0-352,BATTICALOA DISTRICT,167.58
B0-353,BATTICALOA DISTRICT,166.72
B0-354,BATTICALOA DISTRICT,173.68
B0-355,BATTICALOA DISTRICT,210.91
B0-355A,BATTICALOA DISTRICT,210.91
B0-355B,BATTICALOA DISTRICT,208.91
B0-355C,BATTICALOA DISTRICT,208.91
B0-356,BATTICALOA DISTRICT,384.28
B0-357,BATTICALOA DISTRICT,250.43
B0-358,BATTICALOA DISTRICT,275
B0-359,BATTICALOA DISTRICT,120
B0-361A,BATTICALOA DISTRICT,21750
B0-361B,BATTICALOA DISTRICT,11431
B0-362,BATTICALOA DISTRICT,17741
B0-362A,BATTICALOA DISTRICT,19057
B0-362B,BATTICALOA DISTRICT,10021
B0-365,BATTICALOA DISTRICT,24531
B0-365A,BATTICALOA DISTRICT,24584
B0-366,BATTICALOA DISTRICT,15934
B0-366A,BATTICALOA DISTRICT,15760
B0-380,BATTICALOA DISTRICT,35750
B0-381,BATTICALOA DISTRICT,37750
B0-382,BATTICALOA DISTRICT,40100
B0-383,BATTICALOA DISTRICT,42450
B0-384,BATTICALOA DISTRICT,44500
B0-385,BATTICALOA DISTRICT,47750
B0-386,BATTICALOA DISTRICT,180
B0-387,BATTICALOA DISTRICT,1680
B0-388,BATTICALOA DISTRICT,350
B0-391,BATTICALOA DISTRICT,281.7
B0-392,BATTICALOA DISTRICT,133.15
B0-393,BATTICALOA DISTRICT,100
B0-394,BATTICALOA DISTRICT,125
B0-395,BATTICALOA DISTRICT,2473
B0-396,BATTICALOA DISTRICT,2276.75
B0-397,BATTICALOA DISTRICT,490
B0-401,BATTICALOA DISTRICT,2501.6
B0-411,BATTICALOA DISTRICT,249.7
B0-411A,BATTICALOA DISTRICT,242.28
B0-431,BATTICALOA DISTRICT,499.2
B0-432,BATTICALOA DISTRICT,570
B0-433,BATTICALOA DISTRICT,2058
B0-434,BATTICALOA DISTRICT,4290.5
B0-435,BATTICALOA DISTRICT,5507.75
B0-441,BATTICALOA DISTRICT,153
B0-442,BATTICALOA DISTRICT,2438
B0-443,BATTICALOA DISTRICT,2438
B0-444,BATTICALOA DISTRICT,2438
B0-445,BATTICALOA DISTRICT,2438
B0-446,BATTICALOA DISTRICT,1219
B0-446A,BATTICALOA DISTRICT,2438
B0-447,BATTICALOA DISTRICT,1219
B0-447A,BATTICALOA DISTRICT,1219
B0-441B,BATTICALOA DISTRICT,153
B0-442B,BATTICALOA DISTRICT,1500
B0-443B,BATTICALOA DISTRICT,2000
B0-444B,BATTICALOA DISTRICT,2500
B0-445B,BATTICALOA DISTRICT,3000
B0-446B,BATTICALOA DISTRICT,4250
B0-447B,BATTICALOA DISTRICT,1219
B0-448,BATTICALOA DISTRICT,2275
B0-449,BATTICALOA DISTRICT,1150
B0-449A,BATTICALOA DISTRICT,637.5
B0-450,BATTICALOA DISTRICT,4675
B0-451,BATTICALOA DISTRICT,6125
B0-452,BATTICALOA DISTRICT,5900
B0-453,BATTICALOA DISTRICT,1025
B0-454,BATTICALOA DISTRICT,2250
B0-455,BATTICALOA DISTRICT,154
B0-456,BATTICALOA DISTRICT,3600
B0-457,BATTICALOA DISTRICT,8050
B0-458,BATTICALOA DISTRICT,12450
B0-459,BATTICALOA DISTRICT,5650
B0-460,BATTICALOA DISTRICT,69
B0-461,BATTICALOA DISTRICT,81.5
B0-501,BATTICALOA DISTRICT,2054.3
B0-502,BATTICALOA DISTRICT,830.9
B0-503,BATTICALOA DISTRICT,1087.75
B0-504,BATTICALOA DISTRICT,167.7
B0-505,BATTICALOA DISTRICT,77.2
B0-506,BATTICALOA DISTRICT,3722.9
B0-507,BATTICALOA DISTRICT,1161.8
B0-508,BATTICALOA DISTRICT,12
B0-531,BATTICALOA DISTRICT,173.68
B0-534,BATTICALOA DISTRICT,364.45
B0-537,BATTICALOA DISTRICT,28.95
B0-541,BATTICALOA DISTRICT,2602.45
B0-542,BATTICALOA DISTRICT,1753.45
B0-543,BATTICALOA DISTRICT,2394
B0-544,BATTICALOA DISTRICT,2394
B0-545,BATTICALOA DISTRICT,3532.99
B0-546,BATTICALOA DISTRICT,3057.29
B0-547,BATTICALOA DISTRICT,3454.86
B0-548,BATTICALOA DISTRICT,3005.21
B0-601,BATTICALOA DISTRICT,454
B0-602,BATTICALOA DISTRICT,163.33
B0-611,BATTICALOA DISTRICT,2388.94
B0-612,BATTICALOA DISTRICT,405
B0-613,BATTICALOA DISTRICT,400
B0-614,BATTICALOA DISTRICT,132
B0-615,BATTICALOA DISTRICT,392.6
B0-616,BATTICALOA DISTRICT,3441.76
B0-631,BATTICALOA DISTRICT,300
B0-632,BATTICALOA DISTRICT,55.1
B0-632A,BATTICALOA DISTRICT,71.8
B0-633,BATTICALOA DISTRICT,160.95
B0-634,BATTICALOA DISTRICT,75
B0-635,BATTICALOA DISTRICT,90.55
B0-636,BATTICALOA DISTRICT,250
B0-636B,BATTICALOA DISTRICT,400
B0-636C,BATTICALOA DISTRICT,4761.1
B0-636D,BATTICALOA DISTRICT,6851.95
B0-636E,BATTICALOA DISTRICT,7305
B0-637,BATTICALOA DISTRICT,400
B0-637A,BATTICALOA DISTRICT,480.7
B0-637B,BATTICALOA DISTRICT,400
B0-637C,BATTICALOA DISTRICT,600
B0-637D,BATTICALOA DISTRICT,250
B0-637E,BATTICALOA DISTRICT,400
B0-637F,BATTICALOA DISTRICT,600
B0-637G,BATTICALOA DISTRICT,1000
B0-638,BATTICALOA DISTRICT,2694.73
B0-639,BATTICALOA DISTRICT,922.5
B0-639A,BATTICALOA DISTRICT,922.5
B0-639B,BATTICALOA DISTRICT,922.5
B0-640,BATTICALOA DISTRICT,7096.55
B0-641,BATTICALOA DISTRICT,1581.7
B0-642,BATTICALOA DISTRICT,33894
B0-643,BATTICALOA DISTRICT,6906.95
B0-644,BATTICALOA DISTRICT,2560
B0-645,BATTICALOA DISTRICT,579.07
B0-646,BATTICALOA DISTRICT,3013.5
B0-647,BATTICALOA DISTRICT,35.9
B0-648,BATTICALOA DISTRICT,127.55
B0-649,BATTICALOA DISTRICT,150.06
B0-704,BATTICALOA DISTRICT,1100
B0-705,BATTICALOA DISTRICT,2750
B0-711,BATTICALOA DISTRICT,110
B0-712,BATTICALOA DISTRICT,220
B0-713,BATTICALOA DISTRICT,440
B0-714,BATTICALOA DISTRICT,770
B0-715,BATTICALOA DISTRICT,550
B0-716,BATTICALOA DISTRICT,82.5
B0-717,BATTICALOA DISTRICT,440
B0-718,BATTICALOA DISTRICT,550
B0-720,BATTICALOA DISTRICT,110
B0-723,BATTICALOA DISTRICT,220
B0-732,BATTICALOA DISTRICT,550
B0-741,BATTICALOA DISTRICT,220
B0-746,BATTICALOA DISTRICT,550
B0-751,BATTICALOA DISTRICT,330
B0-752,BATTICALOA DISTRICT,110
B0-761,BATTICALOA DISTRICT,1430
B0-762,BATTICALOA DISTRICT,2200
B0-781,BATTICALOA DISTRICT,55
B0-782,BATTICALOA DISTRICT,55
B0-784,BATTICALOA DISTRICT,27.5
B0-785,BATTICALOA DISTRICT,38.5
B0-786,BATTICALOA DISTRICT,110
B0-787,BATTICALOA DISTRICT,110
B0-788,BATTICALOA DISTRICT,27.5
B0-791,BATTICALOA DISTRICT,250
B0-792,BATTICALOA DISTRICT,93.75
B0-800,BATTICALOA DISTRICT,300
B0-801,BATTICALOA DISTRICT,300
B0-802,BATTICALOA DISTRICT,310
B0-803,BATTICALOA DISTRICT,4008
B0-804,BATTICALOA DISTRICT,32
B0-805,BATTICALOA DISTRICT,32
B0-806,BATTICALOA DISTRICT,32
B0-810,BATTICALOA DISTRICT,3.35
B0-811,BATTICALOA DISTRICT,4.26
B0-812,BATTICALOA DISTRICT,5.18
B0-813,BATTICALOA DISTRICT,6.09
B0-814,BATTICALOA DISTRICT,7.01
B0-814A,BATTICALOA DISTRICT,8.23
B0-815,BATTICALOA DISTRICT,9.75
B0-816,BATTICALOA DISTRICT,10.67
B0-817,BATTICALOA DISTRICT,12.19
B0-818,BATTICALOA DISTRICT,13.41
B0-819,BATTICALOA DISTRICT,16.15
B0-830,BATTICALOA DISTRICT,9.5
B0-831,BATTICALOA DISTRICT,11.5
B0-832,BATTICALOA DISTRICT,13.5
B0-833,BATTICALOA DISTRICT,14.5
B0-834,BATTICALOA DISTRICT,15.5
B0-835,BATTICALOA DISTRICT,16.5
B0-850,BATTICALOA DISTRICT,10384.4
B0-851,BATTICALOA DISTRICT,12773
B0-852,BATTICALOA DISTRICT,13692.55
B0-853,BATTICALOA DISTRICT,18179.75
B0-854,BATTICALOA DISTRICT,27576.05
B0-850A,BATTICALOA DISTRICT,11985.05
B0-851A,BATTICALOA DISTRICT,14998.2
B0-852A,BATTICALOA DISTRICT,15932.1
B0-853A,BATTICALOA DISTRICT,22448.9
B0-853A,BATTICALOA DISTRICT,31981.2
B0-860,BATTICALOA DISTRICT,302.5
B0-900,BATTICALOA DISTRICT,98496
B0-901,BATTICALOA DISTRICT,478800
B0-902,BATTICALOA DISTRICT,490140
B0-903,BATTICALOA DISTRICT,1235532
B0-904,BATTICALOA DISTRICT,1581021
B0-905,BATTICALOA DISTRICT,768285
B0-906,BATTICALOA DISTRICT,1044855
B0-907,BATTICALOA DISTRICT,1365000
B0-908,BATTICALOA DISTRICT,817656
B0-909,BATTICALOA DISTRICT,1627500
B0-910,BATTICALOA DISTRICT,698775
B0-911,BATTICALOA DISTRICT,867825
B0-912,BATTICALOA DISTRICT,3360
B0-913,BATTICALOA DISTRICT,5460
B0-914,BATTICALOA DISTRICT,420
B0-915,BATTICALOA DISTRICT,504
B0-916,BATTICALOA DISTRICT,8715
B0-917,BATTICALOA DISTRICT,139834
B0-918,BATTICALOA DISTRICT,142170
B0-919,BATTICALOA DISTRICT,262353
B0-920,BATTICALOA DISTRICT,37107
B0-921,BATTICALOA DISTRICT,176421
B0-922,BATTICALOA DISTRICT,176421
B0-923,BATTICALOA DISTRICT,92400
B0-924,BATTICALOA DISTRICT,22785
B0-925,BATTICALOA DISTRICT,1942193
B0-926,BATTICALOA DISTRICT,644490
B0-927,BATTICALOA DISTRICT,866250
B0-928,BATTICALOA DISTRICT,28253
B0-929,BATTICALOA DISTRICT,53772
B0-930,BATTICALOA DISTRICT,8828.8
B0-931,BATTICALOA DISTRICT,5338
B0-932,BATTICALOA DISTRICT,6119
B0-933,BATTICALOA DISTRICT,3645
B0-934,BATTICALOA DISTRICT,60803
B0-935,BATTICALOA DISTRICT,11978
B0-936,BATTICALOA DISTRICT,131250
B0-937,BATTICALOA DISTRICT,11652
B0-938,BATTICALOA DISTRICT,10350
B0-939,BATTICALOA DISTRICT,14700
B0-940,BATTICALOA DISTRICT,165354
B0-941,BATTICALOA DISTRICT,420000
B0-1001,BATTICALOA DISTRICT,6000
B0-1002,BATTICALOA DISTRICT,8083.33
B0-1003,BATTICALOA DISTRICT,4766.67
B0-1004,BATTICALOA DISTRICT,7183.33
B0-1005,BATTICALOA DISTRICT,10708.33
B0-1006,BATTICALOA DISTRICT,7250
B0-1008,BATTICALOA DISTRICT,17250
B0-1009,BATTICALOA DISTRICT,8975
B0-1010,BATTICALOA DISTRICT,10666.67
B0-1011,BATTICALOA DISTRICT,24975
B0-1012,BATTICALOA DISTRICT,12800
B0-1021,BATTICALOA DISTRICT,247.94
B0-1022,BATTICALOA DISTRICT,572.73
B0-1023,BATTICALOA DISTRICT,714.07
B0-1024,BATTICALOA DISTRICT,887.36
B0-1025,BATTICALOA DISTRICT,644.66
B0-1026,BATTICALOA DISTRICT,1115.74
B0-1027,BATTICALOA DISTRICT,1105.93
B0-1028,BATTICALOA DISTRICT,1477
B0-1029,BATTICALOA DISTRICT,1506.32
B0-1030,BATTICALOA DISTRICT,2302.87
B0-1041,BATTICALOA DISTRICT,1622.93
T1-001,BATTICALOA DISTRICT,620.15
T1-002,BATTICALOA DISTRICT,460.3
T1-003,BATTICALOA DISTRICT,493.15
T1-003A,BATTICALOA DISTRICT,76.7
T1-003B,BATTICALOA DISTRICT,51.5
"T1-003A, T1-003B: CODES CHANGED AS T1-003A AND T1-003B",BATTICALOA DISTRICT,166.9
T1-006,BATTICALOA DISTRICT,166.9
T1-007,BATTICALOA DISTRICT,55.65
T1-007A,BATTICALOA DISTRICT,54.45
T1-008 : CODE AMENDED AS T1-007A,BATTICALOA DISTRICT,37.2
T1-009,BATTICALOA DISTRICT,37.2
T1-010,BATTICALOA DISTRICT,70.35
T1-010A,BATTICALOA DISTRICT,15.7
T1-010B,BATTICALOA DISTRICT,10.9
T1-011 & T1-012 CODES CHANGED,BATTICALOA DISTRICT,38.5
T1-013,BATTICALOA DISTRICT,38.5
T1-014,BATTICALOA DISTRICT,16.5
T1-015,BATTICALOA DISTRICT,52.65
T1-015A,BATTICALOA DISTRICT,12.85
T1-015B,BATTICALOA DISTRICT,9.15
T1-016 & T1-017 CODES CHANGED,BATTICALOA DISTRICT,59.25
T1-018,BATTICALOA DISTRICT,59.25
T1-018A,BATTICALOA DISTRICT,14.45
T1-018B,BATTICALOA DISTRICT,10.3
T1-019 & T1-020 : CODES CHANGED,BATTICALOA DISTRICT,79
T1-021,BATTICALOA DISTRICT,79
T1-021A,BATTICALOA DISTRICT,19.25
T1-021B,BATTICALOA DISTRICT,13.7
T1-022 & T1-023: CODES CHANGED,BATTICALOA DISTRICT,118.5
T1-024,BATTICALOA DISTRICT,118.5
T1-024A,BATTICALOA DISTRICT,28.9
T1-024B,BATTICALOA DISTRICT,20.55
T1-025 & T1-026: CODES CHANGED,BATTICALOA DISTRICT,158
T1-027,BATTICALOA DISTRICT,158
T1-027A,BATTICALOA DISTRICT,38.55
T1-027B,BATTICALOA DISTRICT,27.4
T1-028 & T1-029: CODES CHANGED,BATTICALOA DISTRICT,237
T1-030,BATTICALOA DISTRICT,237
T1-030A,BATTICALOA DISTRICT,57.8
T1-030B,BATTICALOA DISTRICT,41.1
T1-031 & T1-032: CODES CHANGED,BATTICALOA DISTRICT,523.65
T1-033,BATTICALOA DISTRICT,523.65
T1-033A,BATTICALOA DISTRICT,165.2
T1-033B,BATTICALOA DISTRICT,119.15
T1-034 & T1-035: CODES CHANGED,BATTICALOA DISTRICT,118.8
T1-036,BATTICALOA DISTRICT,118.8
T1-037,BATTICALOA DISTRICT,138.6
T1-038,BATTICALOA DISTRICT,275
T1-039,BATTICALOA DISTRICT,457.6
T1-040,BATTICALOA DISTRICT,596.2
T1-041,BATTICALOA DISTRICT,1100
T1-042,BATTICALOA DISTRICT,2200
T1-043,BATTICALOA DISTRICT,4.25
T1-044,BATTICALOA DISTRICT,6.25
T1-045,BATTICALOA DISTRICT,9.4
T1-046,BATTICALOA DISTRICT,11.65
T1-047,BATTICALOA DISTRICT,5.9
T1-048,BATTICALOA DISTRICT,6.8
T1-049,BATTICALOA DISTRICT,3
E1-001,BATTICALOA DISTRICT,832.15
E1-002,BATTICALOA DISTRICT,1031.35
E1-003,BATTICALOA DISTRICT,1230.55
E1-004,BATTICALOA DISTRICT,1107.5
E1-005,BATTICALOA DISTRICT,1629
E1-006,BATTICALOA DISTRICT,1384.65
E1-007,BATTICALOA DISTRICT,2425.8
E1-008,BATTICALOA DISTRICT,2061.95
E1-009,BATTICALOA DISTRICT,1761.8
E1-010,BATTICALOA DISTRICT,2625
E1-010A,BATTICALOA DISTRICT,2027.4
E1-011,BATTICALOA DISTRICT,1629
E1-012,BATTICALOA DISTRICT,2027.4
E1-013,BATTICALOA DISTRICT,2824.2
E1-014,BATTICALOA DISTRICT,2160.2
E1-015,BATTICALOA DISTRICT,2425.8
E1-016,BATTICALOA DISTRICT,3222.6
E1-017,BATTICALOA DISTRICT,3222.6
E1-018,BATTICALOA DISTRICT,3222.6
E1-019,BATTICALOA DISTRICT,3222.6
E1-020,BATTICALOA DISTRICT,199.2
E1-021,BATTICALOA DISTRICT,199.2
E1-022,BATTICALOA DISTRICT,262.95
E1-023,BATTICALOA DISTRICT,3148.8
E1-024,BATTICALOA DISTRICT,3784.9
E1-025,BATTICALOA DISTRICT,4436.35
E1-026,BATTICALOA DISTRICT,5559.15
E1-027,BATTICALOA DISTRICT,391.05
E1-028,BATTICALOA DISTRICT,142.45
E1-029,BATTICALOA DISTRICT,47.5
E1-029A,BATTICALOA DISTRICT,9.5
EW1-001 & EW1-011 IN THIS SHEDULE IS BASED ON MANUAL,BATTICALOA DISTRICT,2342.55
EW1-001,BATTICALOA DISTRICT,2342.55
EW1-002,BATTICALOA DISTRICT,278.7
EW1-003 *,BATTICALOA DISTRICT,632.85
EW1-003A,BATTICALOA DISTRICT,288.2
EW1-004,BATTICALOA DISTRICT,766.75
EW1-005,BATTICALOA DISTRICT,729.75
EW1-006,BATTICALOA DISTRICT,729.75
EW1-007,BATTICALOA DISTRICT,666.4
EW1-008,BATTICALOA DISTRICT,896.4
